,name,categories,genres,steamspy_tags,time_engaged_index,time_engaged_category,player_acclaim_index,player_acclaim_category,adopters_choice_index,adopters_choice_category,game_nexus_index,game_nexus_category
650,TankCraft,Single-player;Steam Trading Cards;Partial Controller Support,Action;Indie;Strategy,Strategy;Action;Indie,0.026153846153846156,Unacceptable,0.38576923076923075,Unacceptable,0.11115384615384616,Unacceptable,0.17261538461538461,Unacceptable
651,Hail to the King: Deathbat,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure;Casual;Indie;RPG,Adventure;Action;RPG,0.04386138613861387,Good,0.7045049504950496,Excellent,0.12886138613861386,AboveAverage,0.2894851485148515,Good
652,Empyrean,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPG,Indie;Adventure;RPG,0.0346875,BelowAverage,0.539375,Average,0.11968750000000002,BelowAverage,0.22893750000000002,BelowAverage
653,Totem Force,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPG,Adventure;Indie;RPG,0.031086956521739133,Mediocre,0.47456521739130436,Mediocre,0.11608695652173914,Mediocre,0.20517391304347826,Subpar
654,Twisted Arrow,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Adventure,Action;Adventure;VR,0.04568627450980392,Good,0.7373529411764707,Outstanding,0.13068627450980394,Good,0.30152941176470593,Good
655,Hyper Simon X,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie,0.03735294117647059,Average,0.5873529411764706,AboveAverage,0.12235294117647061,Average,0.2465294117647059,Average
656,Asteroids Millennium,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,0.035,BelowAverage,0.545,Average,0.12000000000000001,BelowAverage,0.231,BelowAverage
657,Akihabara - Feel the Rhythm Remixed,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Indie;Simulation,Indie;Simulation;Music,0.033846153846153845,BelowAverage,0.5242307692307692,BelowAverage,0.11884615384615385,BelowAverage,0.22338461538461538,BelowAverage
658,airRevo VR,Single-player;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,0.031000000000000003,Mediocre,0.47300000000000003,Mediocre,0.11600000000000002,Mediocre,0.2046,Subpar
659,Onager!,Single-player;Steam Leaderboards,Action;Casual;Indie;Simulation,Action;Indie;Casual,0.03208333333333334,Mediocre,0.4925,Mediocre,0.11708333333333334,Mediocre,0.21175,Mediocre
660,Aztez,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie;Strategy,Action;Indie;Strategy,0.043846153846153854,Good,0.7042307692307692,Excellent,0.12884615384615386,AboveAverage,0.28938461538461535,Good
661,Mega Man Legacy Collection 2 / ロックマン クラシックス コレクション 2,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action,Action;Platformer;Classic,0.05129955947136564,Excellent,0.7533920704845815,Outstanding,0.22129955947136565,Excellent,0.3385770925110132,Excellent
